"Participant","Block","Condition","ConditionName","Task","Time","Distance","XDiff","YDiff","ZDiff"
"2","4",5,"Haptics+Lights","20",5385.5,28.6181,13.5989,3.3919,24.951
"2","5",1,"Haptics","1",2219.51,35.0872,-5.3482,-0.278600000000001,34.676
"2","5",1,"Haptics","2",2983.48,13.1902,5.76502,1.4196,11.779
"2","5",1,"Haptics","3",2124.22,20.7305,-6.9349,-1.3143,19.492
"2","5",1,"Haptics","4",1967.56,3.67019,1.4627,-2.11899,2.61499999999998
"2","5",1,"Haptics","5",3685.14,28.8253,6.1232,-9.8596,26.386
"2","5",1,"Haptics","6",2279.86,11.3833,-6.58016,-3.0285,-8.78100000000001
"2","5",1,"Haptics","7",2297.65,28.8472,-6.46827,-5.2888,27.611
"2","5",1,"Haptics","8",2765.88,21.408,1.1281,1.03118,21.353
"2","5",1,"Haptics","9",1915.78,9.42443,-3.5818,-5.88319,-6.43299999999999
"2","5",1,"Haptics","10",2540.62,30.3988,-0.947700000000001,-7.104768,29.541
"2","5",1,"Haptics","11",2349.92,16.801,-2.0028,8.3216,14.457
"2","5",1,"Haptics","12",2601.07,21.1195,-3.1506,-5.6369,20.108
"2","5",1,"Haptics","13",2688.35,30.2502,1.26359,5.0745,29.794
"2","5",1,"Haptics","14",2436.73,36.4891,-4.72487,-10.45439,34.639
"2","5",1,"Haptics","15",3312.24,47.637,-0.522000000000002,7.4527,47.047
"2","5",1,"Haptics","16",3017.61,27.0042,-10.3666,10.267705,-22.723
"2","5",1,"Haptics","17",5715.29,58.4814,8.371,-11.72364,56.68
"2","5",1,"Haptics","18",1985.6,9.72939,3.25359,-5.4165,7.398
"2","5",1,"Haptics","19",2470.84,25.0041,-2.70041,3.7598,24.572
"2","5",1,"Haptics","20",2740.32,31.4514,-2.2366,8.7937,-30.114
"2","6",6,"Lights","2",1751.59,40.4338,-12.36837,-17.87492,34.095
"2","6",6,"Lights","3",14179.9,40.7996,-15.7799,-2.3385,37.552
"2","6",6,"Lights","4",10840.9,22.2457,18.062,10.90427,-7.05200000000002
"2","6",6,"Lights","5",1257.5,37.55,13.9768,-9.3854,33.565
"2","6",6,"Lights","6",3096.52,25.4961,-7.45275,3.5397,24.124
"2","6",6,"Lights","7",9141.06,27.0403,-1.21247,-21.2516,16.675
"2","6",6,"Lights","8",9617.59,39.0577,-5.6766,37.22283,10.379
"2","6",6,"Lights","9",1274.69,27.1225,-2.4983,12.2005,-24.094
"2","6",6,"Lights","10",1924.66,49.3396,41.0771,27.06465,3.816
"2","6",6,"Lights","11",1517.35,29.7084,22.8522,18.93038,1.41600000000003
"2","6",6,"Lights","12",7536.56,36.3781,-5.4144,34.604,-9.82900000000001
"2","6",6,"Lights","13",6705.73,36.5221,16.66275,21.198104,-24.635
"2","6",6,"Lights","14",2410.79,37.0141,12.7496,-15.67358,-31.013
"2","6",6,"Lights","15",2141.93,42.7515,39.1278,14.66393,-9.03699999999998
"2","6",6,"Lights","16",2297.99,26.8454,-11.6237,0.4635,-24.194
"2","6",6,"Lights","17",2870.6,26.4222,-7.9004,-19.64059,-15.81
"2","6",6,"Lights","18",1126.99,34.7838,-19.34006,-23.54233,16.782
"2","6",6,"Lights","19",2341.46,12.0748,10.9502,0.302599999999998,5.08000000000001
"2","6",6,"Lights","20",6704.03,32.7131,16.9514,14.2496,-24.078
"3","1",4,"Haptics","1",7631.67,36.4431,-1.8312,1.062,36.381
"3","1",4,"Haptics","2",6616.7,27.417,5.23652,1.762127,26.855
"3","1",4,"Haptics","3",6850.8,48.4128,-0.371000000000002,5.72048,48.072
"3","1",4,"Haptics","4",7354.06,12.3,2.0777,4.73447,11.161
"3","1",4,"Haptics","5",6807.78,4.60243,2.3747,3.9425,-0.0219999999999914
"3","1",4,"Haptics","6",8316.94,41.4558,1.08511,10.69221,40.039
"3","1",4,"Haptics","7",7813.15,65.2878,0.23817,2.4104,65.2427
"3","1",4,"Haptics","8",7821.17,30.0167,0.1822,5.01105,29.595
"3","1",4,"Haptics","9",10528.1,42.605,1.2975,0.84738,42.577
"3","1",4,"Haptics","10",9148.85,24.9902,3.77735,4.09045,24.362
"3","1",4,"Haptics","11",6373.94,16.0358,1.6705,0.593399999999999,15.937
"3","1",4,"Haptics","12",6303.49,27.1037,-1.474,4.0248,26.763
"3","1",4,"Haptics","13",9347.91,33.1858,3.1595,5.3933,32.592
"3","1",4,"Haptics","14",8099.04,17.8831,3.3094,6.824,16.195
"3","1",4,"Haptics","15",6581.63,61.3638,2.6276,4.7342,61.124
"3","1",4,"Haptics","16",7569.87,51.1756,0.716900000000003,13.4856,49.361
"3","1",4,"Haptics","17",9097.2,73.8605,-2.6162,20.34321,70.956
"3","1",4,"Haptics","18",6608.15,34.7754,5.99479,3.2417,34.101
"3","1",4,"Haptics","19",6912.15,16.2073,2.6544,7.1771,14.287
"3","1",4,"Haptics","20",6634.39,15.0816,-0.767600000000002,5.7671,13.914
"3","2",5,"Haptics+Lights","1",4534.7,10.2491,7.0604,3.6245,-6.48499999999999
"3","2",5,"Haptics+Lights","2",3511.42,32.9706,6.98631,1.47468,32.189
"3","2",5,"Haptics+Lights","3",3685.97,19.8913,2.7151,1.9404,19.61
"3","2",5,"Haptics+Lights","4",4162.51,30.6943,6.7703,4.73117,29.562
"3","2",5,"Haptics+Lights","5",4300.6,13.8569,3.5805,6.1882,11.87
"3","2",5,"Haptics+Lights","6",3859.24,27.134,-1.56912,5.22298,26.58
"3","2",5,"Haptics+Lights","7",3807.12,5.37624,2.60415,4.6962,-0.259999999999991
"3","2",5,"Haptics+Lights","8",6919.88,9.62566,5.59155,2.56469,7.40299999999999
"3","2",5,"Haptics+Lights","9",3477.25,18.5567,6.2366,-1.69977,17.395
"3","2",5,"Haptics+Lights","10",4231.44,6.4091,4.17449,-3.0418,3.79400000000001
"3","2",5,"Haptics+Lights","11",4734.37,6.47469,1.908,-6.1872,-0.0269999999999868
"3","2",5,"Haptics+Lights","12",4024.18,33.6026,-0.0228000000000037,-1.1375,33.583
"3","2",5,"Haptics+Lights","13",4951.81,17.1913,-4.3545,3.7429,16.204
"3","2",5,"Haptics+Lights","14",5211.99,9.39989,1.3407,-0.357299999999999,9.297
"3","2",5,"Haptics+Lights","15",4145.18,7.11998,2.495,3.9046,-5.40600000000001
"3","2",5,"Haptics+Lights","16",3789.89,3.8271,-0.468199999999996,3.50342,1.46699999999998
"3","2",5,"Haptics+Lights","17",4058.54,10.3579,0.121600000000001,9.73681,3.53100000000001
"3","2",5,"Haptics+Lights","18",3971.59,16.3657,4.33271,11.7521,10.533
"3","2",5,"Haptics+Lights","19",5098.54,7.77846,-2.78691,4.1938,5.929
"3","2",5,"Haptics+Lights","20",4093.27,16.7875,4.5923,14.3894,-7.32600000000002
"3","3",3,"Lights","2",3839.31,26.3177,-1.67763,22.43958,13.649
"3","3",3,"Lights","3",10510.2,53.1776,20.3745,3.4914,48.996
"3","3",3,"Lights","5",2272.01,35.7864,34.06871,10.6396,2.60599999999999
"3","3",3,"Lights","6",2947.16,52.2438,-26.52148,44.2893,8.03
"3","3",3,"Lights","7",3172.88,34.7128,32.17705,-12.3965,3.99299999999999
"3","3",3,"Lights","8",2991.32,36.9092,-11.4954,31.43283,-15.561
"3","3",3,"Lights","9",2098.2,38.2658,28.8379,21.3118,13.359
"3","3",3,"Lights","10",4049.11,31.4708,-20.1916,24.13935,0.0560000000000116
"3","3",3,"Lights","11",11877.9,45.2509,-35.4044,24.62843,13.697
"3","3",3,"Lights","12",5566.05,20.3693,9.4699,16.77411,6.62299999999999
"3","3",3,"Lights","13",4483.09,48.2449,39.1098,3.9641,27.969
"3","3",3,"Lights","14",14238.6,22.0764,10.2575,19.4677,-1.77799999999999
"3","3",3,"Lights","15",9104.09,49.3692,-16.5364,45.9723,7.101
"3","3",3,"Lights","16",10370.8,47.6603,20.6509,41.0488,12.65
"3","3",3,"Lights","17",5868.68,38.4188,25.4027,-25.35679,-13.701
"3","3",3,"Lights","19",5618.15,43.6618,-30.5696,14.9081,27.379
"3","4",6,"Lights","1",4534.98,29.5881,-26.5896,-9.0522,-9.30099999999999
"3","4",6,"Lights","2",2471.01,38.2525,-14.45699,34.16478,9.32900000000001
"3","4",6,"Lights","3",6998.34,25.9265,-13.8504,21.85692,1.62100000000001
"3","4",6,"Lights","4",2018.37,17.1884,2.2491,4.55237,16.421
"3","4",6,"Lights","5",8192.83,31.2144,9.0092,-14.4406,26.166
"3","4",6,"Lights","6",13381.2,21.2489,7.8196,13.46798,14.456
"3","4",6,"Lights","7",6408.12,14.1351,-8.30731,-4.5033,10.512
"3","4",6,"Lights","8",6659.3,35.9667,-20.1779,29.37383,4.86099999999999
"3","4",6,"Lights","9",2114.57,23.9109,11.9942,9.60979,18.317
"3","4",6,"Lights","10",8679.97,16.7721,-1.5105,11.06135,-12.517
"3","4",6,"Lights","11",14385.6,36.3284,14.1487,31.6485,10.86
"3","4",6,"Lights","12",7891.12,25.0329,7.61409999999999,22.49714,7.90899999999999
"3","4",6,"Lights","13",9798.95,32.8463,9.723851,30.8497,-5.71200000000002
"3","4",6,"Lights","14",5472.24,32.8129,-27.6163,1.2951,-17.673
"3","4",6,"Lights","15",7656.44,30.3416,-5.9309,18.72715,23.124
"3","4",6,"Lights","16",5115.25,30.8856,20.5916,16.03071,16.52
"3","4",6,"Lights","17",2254.11,31.7458,-21.45221,9.27461,21.485
